url,pr_group,ref_pattern,prod_file,location
https://github.com/Activiti/Activiti/pull/584,incl_ref_for_test,extract_method_for_override,modules/activiti-engine/src/main/java/org/activiti/engine/impl/persistence/entity/UserEntity.java,https://github.com/Activiti/Activiti/pull/584/files?diff=split&w=1#diff-9c85e33a00abba9ba6b6b9d2111b8d440676a0e43704a745449ff5cc80caf97cR40
https://github.com/Activiti/Activiti/pull/584,incl_ref_for_test,extract_method_for_override,modules/activiti-engine/src/main/java/org/activiti/engine/impl/persistence/entity/UserEntity.java,https://github.com/Activiti/Activiti/pull/584/files?diff=split&w=1#diff-9c85e33a00abba9ba6b6b9d2111b8d440676a0e43704a745449ff5cc80caf97cR45
https://github.com/Alluxio/alluxio/pull/1629,incl_ref_for_test,widen_access_for_invocation,servers/src/main/java/tachyon/master/block/BlockMaster.java,https://github.com/Alluxio/alluxio/pull/1629/files?diff=split&w=1#diff-05f6d61b3485c9cae64cdb03bd18f3fadf5edc4c7eeb0a00846545fbe323dea1R92
https://github.com/Alluxio/alluxio/pull/3818,only_ref_for_test,create_constructor,core/client/src/main/java/alluxio/client/netty/NettyRemoteBlockReader.java,https://github.com/Alluxio/alluxio/pull/3818/files#diff-cc3b10453fa5d1d353abbbbc7d0deb9fa3eed89e499729fedf932d32a01acd43R64
https://github.com/ankidroid/Anki-Android/pull/5996,only_ref_for_test,widen_access_for_invocation,AnkiDroid/src/main/java/com/ichi2/anki/AbstractFlashcardViewer.java,https://github.com/ankidroid/Anki-Android/pull/5996/files#diff-76eaf6fee9aa0f3198591dcc660995763061eb0ac958576c81eb22dd509032c5R43
https://github.com/apache/druid/pull/2102,incl_ref_for_test,widen_access_for_invocation,server/src/main/java/io/druid/client/cache/CacheMonitor.java,https://github.com/apache/druid/pull/2102/files?diff=split&w=1#diff-e950e106eae9e2f26999124f3fae7e88634a16107ee35a04069d87fa41ad1826R28
https://github.com/apache/incubator-heron/pull/1889,incl_ref_for_test,add_constructor_param,heron/metricsmgr/src/java/com/twitter/heron/metricsmgr/sink/WebSink.java,https://github.com/apache/incubator-heron/pull/1889/files#diff-b2ccdca755c3f7791879246ff6b92e87c3ea784e57751ae3fd3f315cce5ebc39R98
https://github.com/apache/incubator-heron/pull/536,incl_ref_for_test,extract_method_for_override,heron/schedulers/src/java/com/twitter/heron/scheduler/local/LocalScheduler.java,https://github.com/apache/incubator-heron/pull/536/files#diff-820861ac4ea7086f46317314e8059c00f57b88654a5686ecd12f05ba8c1923fbR83
https://github.com/apache/incubator-heron/pull/691,incl_ref_for_test,extract_method_for_override,heron/scheduler-core/src/java/com/twitter/heron/scheduler/RuntimeManagerMain.java,https://github.com/apache/incubator-heron/pull/691/files#diff-9e584d73f147296cc864a9a993a8bfbc8527e71c7d9b8e83b741c42a89605af0R117
https://github.com/apache/incubator-heron/pull/691,incl_ref_for_test,extract_method_for_override,heron/scheduler-core/src/java/com/twitter/heron/scheduler/RuntimeManagerMain.java,https://github.com/apache/incubator-heron/pull/691/files#diff-9e584d73f147296cc864a9a993a8bfbc8527e71c7d9b8e83b741c42a89605af0R109
https://github.com/apache/incubator-heron/pull/691,incl_ref_for_test,create_constructor,heron/scheduler-core/src/java/com/twitter/heron/scheduler/RuntimeManagerMain.java,https://github.com/apache/incubator-heron/pull/691/files#diff-9e584d73f147296cc864a9a993a8bfbc8527e71c7d9b8e83b741c42a89605af0R45
https://github.com/apache/incubator-heron/pull/694,incl_ref_for_test,extract_method_for_override,heron/scheduler-core/src/java/com/twitter/heron/scheduler/RuntimeManagerMain.java,https://github.com/apache/incubator-heron/pull/694/files?diff=split&w=1#diff-77f1245f023be9c064b1fcb1e3ceeb1ad11b0225e3cdc46f4e51cfd91fb2360fR151
https://github.com/apache/kafka/pull/5210,incl_ref_for_test,extract_method_for_override,streams/src/main/java/org/apache/kafka/streams/processor/internals/TaskManager.java,https://github.com/apache/kafka/pull/5210/files#diff-e75351ae918dc9830b36a2c407203bfc4212ef78a658f053a2905e312ed47edfR1349
https://github.com/apache/rocketmq/pull/198,incl_ref_for_test,extract_method_for_override,store/src/main/java/org/apache/rocketmq/store/MappedFile.java,https://github.com/apache/rocketmq/pull/198/files?diff=split&w=1#diff-888e25c81c467714bdeb51d54b8e3b952a506af0f7650c79533fbe315fb9ed6eR200
https://github.com/apache/tomee/pull/422,only_ref_for_test,widen_access_for_invocation,container/openejb-core/src/main/java/org/apache/openejb/config/CmpJpaConversion.java,https://github.com/apache/tomee/pull/422/files#diff-e305eaa466766decb966f788ed2a40c345528f0fc58993a1d29b69ffd2f5e009R265
https://github.com/azkaban/azkaban/pull/1765,only_ref_for_test,extract_class_for_invocation,az-core/src/main/java/azkaban/utils/ExecutorServiceUtils.java,https://github.com/azkaban/azkaban/pull/1765/files#diff-810b005e9b0d6b7fc9f37a074e371c2db7e54b0f895b9ebd399287da6b0ba7e0R91
https://github.com/azkaban/azkaban/pull/1765,only_ref_for_test,widen_access_for_invocation,azkaban-exec-server/src/main/java/azkaban/dag/DagService.java,https://github.com/azkaban/azkaban/pull/1765/files#diff-810b005e9b0d6b7fc9f37a074e371c2db7e54b0f895b9ebd399287da6b0ba7e0R97
https://github.com/azkaban/azkaban/pull/1975,only_ref_for_test,extract_method_for_invocation,azkaban-common/src/main/java/azkaban/executor/ExecutorApiGateway.java,https://github.com/azkaban/azkaban/pull/1975/files#diff-45e3771b550c3827748cc32d0c60f4c852a90ae1918bde8dbbd25eaa76ded288R128
https://github.com/azkaban/azkaban/pull/1975,only_ref_for_test,override_system_time,azkaban-common/src/main/java/azkaban/executor/RunningExecutionsUpdater.java,https://github.com/azkaban/azkaban/pull/1975/files#diff-2d87c6fd865081ff5397628a7b3db37042e787e0762d9cb939811e202a60473fR175
https://github.com/azkaban/azkaban/pull/2528,incl_ref_for_test,widen_access_for_invocation,azkaban-common/src/main/java/azkaban/executor/ExecutorHealthChecker.java,https://github.com/azkaban/azkaban/pull/2528/files?diff=split&w=1#diff-8beb873d10a877ad94d262c14da7047f588c52dfea8997d0044c7199f2b12ea8R186
https://github.com/blackducksoftware/blackduck-alert/pull/76,incl_ref_for_test,extract_method_for_invocation,,https://github.com/blackducksoftware/blackduck-alert/pull/76/files?diff=split&w=1#diff-205490c220d1f64640088a0ad4ee19b99096febca1ae4342293b0f974597c48aR264
https://github.com/buchen/portfolio/pull/1503,only_ref_for_test,extract_method_for_override,"name.abuchen.portfolio/src/name/abuchen/portfolio/online/impl/AlphavantageQuoteFeed.java, name.abuchen.portfolio/src/name/abuchen/portfolio/online/impl/YahooFinanceQuoteFeed.java",https://github.com/buchen/portfolio/pull/1503/files#diff-5e881646e22fdc58fe0aa4911083d331fc90e7798b8a5b3e3383c86c784fc759R83
https://github.com/checkstyle/checkstyle/pull/1324,incl_ref_for_test,extract_method_for_invocation,src/main/java/com/puppycrawl/tools/checkstyle/checks/indentation/HandlerFactory.java,https://github.com/checkstyle/checkstyle/pull/1324/files#diff-26abaca790e2832017caeeddcfb38673e767eef2e4e44b3114a217f4e99fdec4R348
https://github.com/checkstyle/checkstyle/pull/1365,incl_ref_for_test,widen_access_for_invocation,src/main/java/com/puppycrawl/tools/checkstyle/Utils.java,https://github.com/checkstyle/checkstyle/pull/1365/files#diff-26abaca790e2832017caeeddcfb38673e767eef2e4e44b3114a217f4e99fdec4R377
https://github.com/CIRDLES/Topsoil/pull/162,only_ref_for_test,extract_method_for_invocation,src/main/java/org/cirdles/topsoil/app/utils/SVGSaver.java,https://github.com/CIRDLES/Topsoil/pull/162/files#diff-09a3faa4ad34d218bef2083e380a7ba75ab8d1a3cea32eacd5f176a6cb5aec5aR111
https://github.com/citrusframework/citrus/pull/563,only_ref_for_test,extract_class_for_invocation,modules/citrus-http/src/main/java/com/consol/citrus/http/message/CookieParser.java,https://github.com/citrusframework/citrus/pull/563/files#diff-006f2855402ba98a25b2b1bbaafe439ef61a5f1d2b6a10a379a4b6dab334debcR46
https://github.com/codice/ddf/pull/433,only_ref_for_test,extract_method_for_override,platform/platform-configuration-migration/src/main/java/org/codice/ddf/configuration/admin/ConfigurationAdminMigration.java,https://github.com/codice/ddf/pull/433/files#diff-4b354aa52adbc8836ad652e961db0f26522a7b8470d3f511fa1443de2bd59068R255
